#     MJD[days]  log10(E/GeV)   AngErr[deg]       RA[deg]      Dec[deg]  Azimuth[deg]   Zenith[deg]
   57529.57562448          2.89          0.71       234.449        31.398       302.239       121.351
   57529.57601058          2.93          1.04       359.142        35.343       177.647       125.425
   57529.58005773          2.85          0.20       137.282         6.991        40.962        96.924
   57529.58713825          4.88          0.35        74.963       -24.727       105.888        65.289
   57529.58838685          2.83          2.43       330.306        61.980       211.021       152.051
   57529.59868560          2.92          1.37        30.244        25.110       154.713       115.179
   57529.59998363          4.67          0.20        45.490       -33.467       140.002        56.589
   57529.60204088          2.77          0.93       286.870        14.815       259.332       104.844
   57529.61194050          2.99          0.36       241.449        11.078       308.320       101.041
   57529.61463508          2.84          0.79       246.207        19.053       304.547       109.023
   57529.61756794          2.51          2.83       230.513         6.618       321.280        96.567
   57529.61852917          2.86          0.50       134.861        -3.409        57.281        86.524
   57529.62098896          2.86          0.53       306.395        -0.097       246.628        89.958
   57529.62188920          2.92          0.46       125.888        -3.269        67.469        86.673
   57529.62369054          3.13          1.06       234.251        12.396       319.760       102.349
   57529.62619021          2.77          0.77       210.778        10.133       344.129       100.062
   57529.62780066          2.65          0.53         4.785        11.819       190.699       101.903
   57529.62953322          2.88          0.53       163.185        39.634        32.908       129.552
   57529.63051723          2.88          0.78        10.626        28.848       185.831       118.929
   57529.63214311          2.79          0.57       249.680        13.182       307.386       103.157
   57529.63283456          3.21          0.42       340.563         7.739       216.742        97.821
   57529.63637715          5.05          0.35       219.840       -27.534       338.703        62.402
   57529.64030447          2.57          1.45        54.764        13.461       145.222       103.505
   57529.64078497          3.01          0.45        19.227        -0.256       180.948        89.823
   57529.64349461          4.39          0.20       159.355       -15.626        41.801        74.288
   57529.64383799          2.95          1.41       349.994        45.776       211.290       135.858
   57529.64638471          3.16          0.24        66.344        12.306       135.836       102.334
   57529.64690400          2.83          0.49       282.292        45.616       280.168       135.638
   57529.65234120          5.01          0.59       217.772       -31.580       346.529        58.353
   57529.65310330          4.68          0.20       335.898       -33.125       228.702        56.959
   57529.65734245          3.86          0.20       208.444        -7.687       357.693        82.238
   57529.66020755          3.16          0.57       184.034         0.034        23.146        89.946
   57529.66078353          2.98          0.63       325.966        18.048       241.438       108.122
   57529.66132086          2.92          0.61       120.971        55.573        86.515       145.525
   57529.66696201          4.51          0.20       180.158       -20.974        29.457        68.936
   57529.67425616          2.80          1.22       177.815        15.973        34.438       105.885
   57529.67444591          3.84          0.29       202.667        -7.708         9.646        82.213
   57529.67523229          5.16          0.20       142.623       -41.043        70.026        48.878
   57529.67638719          2.72          0.88       144.473        26.345        68.529       116.271
   57529.67944132          2.15          1.75       147.614        63.291        66.433       153.217
   57529.68034748          3.08          0.58        45.768        40.997       168.632       131.051
   57529.68135252          3.19          0.38       339.019         3.610       235.799        93.693
   57529.68415624          2.44          1.54        80.678        -2.935       135.159        87.071
   57529.68433934          2.83          0.82       264.508        30.603       311.432       120.601
   57529.69065561          5.16          0.40       283.236       -30.084       294.885        59.945
   57529.69325904          3.20          0.37       217.868         8.460         1.249        98.394
   57529.69819391          2.87          0.50       278.636         5.538       302.264        95.558
   57529.69963378          5.52          0.24        77.156       -42.967       144.348        47.043
   57529.70080089          5.02          0.36        11.316       -69.551       210.598        20.538
   57529.70082590          2.78          0.96         5.809        16.495       216.034       106.580
   57529.70853481          5.27          0.20       357.487       -51.873       227.151        38.219
   57529.71306265          3.25          1.22       359.090        20.014       227.173       110.101
   57529.71330963          5.41          0.51       198.883       -39.530        27.434        50.385
   57529.71933528          4.70          0.20       123.690       -22.838       104.869        67.103
   57529.72233197          3.11          0.53        28.776        -1.048       200.838        89.026
   57529.72341749          3.04          1.94        88.906        48.923       141.000       138.918
   57529.72879141          3.04          0.44        15.015         2.465       216.928        92.548
   57529.73275022          3.16          0.79        21.701         1.323       211.672        91.402
   57529.73296218          5.01          0.46       284.151       -26.975       309.248        63.056
   57529.73769985          4.62          0.20       282.660       -14.507       312.470        75.521
   57529.73771865          2.88          5.10       211.756        74.396        23.584       164.326
   57529.74849616          4.50          0.36       172.133        -9.289        66.920        80.618
   57529.75056220          3.18          1.45       104.601        14.482       135.181       104.451
   57529.75909375          2.83          0.38        32.142        33.870       210.705       123.940
   57529.75971862          4.89          0.20        87.493       -60.434       155.782        29.559
   57529.76075843          3.09          0.65       197.836        34.588        45.664       124.505
   57529.76246047          3.45          0.97       325.703        -0.505       278.391        89.574
