#     MJD[days]  log10(E/GeV)   AngErr[deg]       RA[deg]      Dec[deg]  Azimuth[deg]   Zenith[deg]
   55695.77403994          4.34          0.20       112.565       -45.319       128.159        44.647
   55695.77412062          2.67          0.41       189.784        60.141        50.928       150.080
   55695.77658671          3.04          0.40       136.502        -2.056       105.081        87.891
   55695.78055593          3.03          0.35       312.885        -2.492       290.126        87.556
   55695.78409747          3.08          2.28       251.606        46.410       352.746       136.393
   55695.78725808          3.18          1.72       170.021        26.885        75.407       116.821
   55695.79267391          3.22          0.28       340.899       -16.767       266.486        73.297
   55695.79694487          5.05          0.41        50.249       -66.653       198.820        23.384
   55695.80171299          4.83          0.28       211.963       -36.953        38.652        52.992
   55695.80357703          2.78          0.46        44.210        70.440       206.989       160.482
   55695.80467706          2.95          1.41        13.708         5.461       238.016        95.522
   55695.80562583          3.02          0.28        83.878        -8.247       168.201        81.753
   55695.80756990          3.09          1.01        66.298        -5.718       186.480        84.301
   55695.81581102          2.72          0.66        15.342         6.928       240.399        96.988
   55695.81873877          3.21          0.53        63.911        42.526       192.837       132.550
   55695.82042828          3.08          0.56        23.912        83.002       233.270       173.057
   55695.82377390          4.98          0.24        85.503       -47.863       173.193        42.133
   55695.82603056          2.81          0.60       339.479         5.164       279.954        95.227
   55695.83731552          4.99          0.50        79.276       -34.803       184.280        55.202
   55695.83849575          2.87          0.67       346.057        -4.493       277.873        85.573
   55695.83908586          2.96          0.54       166.103        27.776        98.031       117.711
   55695.83962998          3.20          0.81       312.877        44.625       311.505       134.670
   55695.84028990          5.39          2.50       243.111       -48.524        21.387        41.450
   55695.84163269          2.78          1.36       218.394        30.809        46.689       120.760
   55695.84650492          3.12          0.29        90.430        16.543       176.376       106.537
   55695.84722252          2.57          1.73        77.726        62.421       189.237       152.431
   55695.84857677          4.78          0.84       199.878       -27.869        67.670        62.066
   55695.84943359          5.27          0.20       308.571       -41.818       319.261        48.231
   55695.85151672          4.62          0.21       182.810       -59.182        85.799        30.747
   55695.85382037          3.04          0.74        33.723        23.887       235.725       113.938
   55695.86350777          3.12          1.41       251.499         8.328        21.464        98.310
   55695.87525529          4.57          0.25        71.242       -19.739       205.986        70.277
   55695.88266267          5.36          1.31        26.752       -22.169       253.140        67.889
   55695.88407493          3.05          0.52       106.927         1.821       173.457        91.795
   55695.88630869          3.06          1.14       191.971        11.195        89.218       101.128
   55695.89030184          5.17          0.46       207.497       -62.030        75.055        27.909
   55695.89093830          3.40          0.34        14.651        51.166       268.189       141.228
   55695.89325285          4.34          0.21       108.274       -35.351       175.471        54.620
   55695.89326429          4.53          0.88       213.613       -42.838        70.041        47.105
   55695.89512789          3.48          0.23       194.336        -3.813        90.031        86.120
   55695.89600714          4.18          0.20       332.753       -28.818       311.923        61.246
   55695.90133132          2.90          0.87        88.604        23.709       197.983       113.706
   55695.90320663          3.01          0.59       111.879        49.734       175.341       139.707
   55695.90540516          2.81          0.28        53.143        26.302       234.917       116.339
   55695.90581078          5.46          1.53       356.056       -54.073       292.177        35.999
   55695.90736135          4.55          0.95       334.546       -28.660       314.230        61.405
   55695.91004662          2.83          1.03       277.226        22.580        12.556       112.590
   55695.91566035          3.21          0.74       257.907        12.316        33.887       102.303
   55695.91635507          2.75          0.41       214.585        71.797        77.563       161.743
   55695.91951446          4.63          0.20       103.161       -50.404       190.102        39.573
   55695.92456038          3.92          0.25       174.251       -13.424       120.745        76.504
   55695.92506973          5.52          3.73       115.464       -48.057       179.790        41.905
   55695.92569448          3.04          0.82       110.067         9.042       185.333        99.014
   55695.92674830          3.23          2.32       205.832        20.120        89.962       110.059
   55695.92880839          2.98          0.46       204.489         5.257        92.040        95.194
   55695.93132053          4.73          0.21        61.036       -34.416       236.451        55.614
   55695.93526689          4.86          0.31       262.237       -52.753        36.526        37.242
   55695.93662058          4.79          0.56       341.103       -43.452       318.231        46.618
   55695.93892437          3.00          0.81       228.855        17.013        71.339       106.968
   55695.94563666          4.20          0.49       191.676       -22.631       110.918        67.298
   55695.94619292          3.00          1.24        71.392        15.213       231.402       105.231
   55695.94784830          3.35          0.31        83.347        -7.525       220.071        82.479
   55695.94979223          5.41          0.41       236.238       -48.464        67.792        41.499
   55695.95557963          4.27          0.99       279.345       -15.364        26.827        74.649
   55695.95664411          4.65          0.20        84.559       -39.848       222.084        50.154
   55695.95694463          4.79          0.20       276.859       -49.921        29.740        40.092
   55695.96030206          4.74          0.29       196.007       -53.801       111.856        36.129
   55695.96313701          4.68          1.63       215.794       -60.803        93.041        29.139
   55695.96495443          4.93          0.51       297.796       -42.015        11.725        48.022
   55695.96964163          5.20          0.36       310.585       -56.297         0.606        33.754
   55695.97217602          3.41          0.32        45.362        43.496       266.782       133.542
   55695.97263944          3.18          0.81       162.250         1.608       150.101        91.540
   55695.98189826          3.64          0.48       165.744        28.144       149.942       118.076
   55695.98788287          4.55          0.20       180.977       -57.255       136.869        32.671
   55695.99085756          2.85          1.21       301.164        -3.744        17.759        86.293
   55695.99144691          4.82          0.41       185.796       -52.465       133.329        37.461
   55695.99203773          4.66          0.22       172.225       -46.952       147.136        42.973
   55695.99215308          5.05          0.58       312.012       -36.184         7.346        53.866
   55695.99254638          3.09          0.20       211.949       -30.366       107.561        59.573
   55695.99334549          3.27          0.21        24.288       -11.461       295.551        78.601
   55696.00257025          3.35          0.27       178.425         0.836       144.730        90.764
   55696.00444465          3.18          3.70         2.416        48.827       321.419       138.893
   55696.00847222          5.00          1.23       178.256       -55.150       147.028        34.775
   55696.00880819          4.87          0.92       352.199       -29.761       333.209        60.311
   55696.01232701          4.04          0.86       122.964       -17.047       203.737        72.911
   55696.01721078          3.08          0.80       188.434        -2.725       140.004        87.204
   55696.01871535          2.55          2.21       235.536        35.178        93.484       125.138
   55696.02039443          3.87          0.49        51.830        11.800       277.756       101.841
   55696.02090352          3.17          2.17       336.706         9.989       353.075       100.052
   55696.02296326          3.06          0.72       179.994        24.095       150.522       114.025
   55696.02366941          3.41          0.26       167.378        35.995       163.383       125.928
   55696.02376226          5.74          1.01       262.406       -54.837        68.294        35.156
   55696.02732664          5.00          1.77       260.824       -28.994        71.226        60.995
   55696.03371638          3.09          0.69        36.929        20.356       297.462       110.411
   55696.03468756          3.14          0.90        62.634         8.510       272.114        98.541
   55696.03762818          3.02          2.39        69.675        26.515       266.111       116.539
   55696.04049868          4.92          2.29        12.070       -33.242       324.794        56.828
   55696.04260455          4.40          0.20        92.723       -39.870       244.951        50.124
   55696.04285896          3.47          0.53        64.379        -4.700       273.333        85.329
   55696.04669020          2.54          1.57       105.318        23.821       233.741       113.803
   55696.04894756          4.64          0.24       179.990       -24.395       159.906        65.531
   55696.05145885          3.21          0.56        10.549         4.697       330.260        94.765
   55696.05485025          2.86          0.20       148.191       -12.157       193.847        77.781
   55696.06201455          4.22          0.21       145.614       -42.378       199.039        47.560
