#     MJD[days]  log10(E/GeV)   AngErr[deg]       RA[deg]      Dec[deg]  Azimuth[deg]   Zenith[deg]
   56757.79986104          2.91          0.54       205.606        35.604        11.120       125.535
   56757.80382796          3.71          0.22       336.670        -5.734       241.466        84.338
   56757.80672374          2.95          1.12        81.053        35.308       138.076       125.314
   56757.81188471          2.68          5.38        82.704        42.567       138.271       132.571
   56757.81294124          2.94          0.78       205.321        31.719        16.123       121.649
   56757.81462079          3.29          1.48       281.256        10.673       300.789       100.692
   56757.81522271          2.97          0.42       215.432        51.468         6.873       141.407
   56757.81537174          3.38          1.07       145.587         7.303        76.707        97.232
   56757.81850685          3.33          0.63       146.549         1.679        76.880        91.607
   56757.82653059          3.06          1.07       252.021        52.234       334.404       142.213
   56757.82952179          3.03          1.04        71.819         4.546       155.589        94.561
   56757.83385551          4.30          0.30       354.972        -8.556       234.007        81.522
   56757.83959017          3.55          0.97        28.392        13.822       202.647       103.886
   56757.84594211          5.17          0.52       289.871       -38.138       303.410        51.898
   56757.84682140          3.02          0.28       272.902         3.760       320.756        93.769
   56757.85635288          4.98          1.12        60.376       -25.144       176.758        64.885
   56757.85716388          2.98          1.06       115.346         6.745       122.034        96.702
   56757.85770679          5.19          0.20       227.172       -26.612        10.375        63.339
   56757.86302591          2.85          0.68        52.146        10.308       187.351       100.349
   56757.86564453          2.98          0.34       178.585        -1.345        61.860        88.573
   56757.87753484          5.09          0.22        46.054       -31.554       198.733        58.493
   56757.88148429          2.75          0.36       345.351        16.270       260.825       106.347
   56757.88230285          2.91          0.50       188.110        19.297        58.354       109.216
   56757.88604488          2.93          0.46         2.026        51.565       245.783       141.643
   56757.88617278          3.20          0.37       199.469        17.868        48.397       107.793
   56757.88785882          2.86          0.30       169.972        77.923        78.446       167.844
   56757.89271773          5.68          0.20       324.635       -42.699       285.554        47.373
   56757.89625473          3.66          0.29       188.463        -7.604        63.029        82.314
   56757.89963947          2.90          2.46       280.338        26.634       332.422       116.652
   56757.90035498          3.03          0.26       279.176        27.625       333.844       117.641
   56757.90307995          3.12          1.55       221.636        25.226        32.351       115.167
   56757.90489531          2.79          0.37       139.773        27.346       114.819       117.279
   56757.90766708          2.85          0.44        84.625         2.870       170.993        92.868
   56757.90787894          2.91          0.42       146.956        13.296       108.728       103.222
   56757.91329948          2.53          0.90        65.832        16.681       191.802       106.707
   56757.91380022          3.12          0.67       138.817        18.844       118.997       108.777
   56757.92327628          3.67          0.25        40.279        -7.812       220.988        82.243
   56757.92656301          5.20          0.20       114.549       -68.056       148.069        21.897
   56757.92714821          3.13          0.65       105.981         8.842       156.659        98.811
   56757.93419293          2.88          0.41       221.561         1.367        43.630        91.309
   56757.94232552          2.81          1.43       204.691        46.362        63.475       136.288
   56757.94537756          2.42          0.74       299.395        32.680       329.882       122.723
   56757.94781325          2.91          0.55       357.155        35.637       272.960       125.717
   56757.94881934          3.01          1.14        52.756         7.968       217.713        98.011
   56757.94919852          3.18          0.69        76.097        -1.489       194.520        88.521
   56757.95006094          3.18          0.55       133.246        48.189       137.612       138.129
   56757.95243979          3.28          0.71        52.331        21.462       219.428       111.506
   56757.96353896          3.25          1.18        11.281        35.760       264.497       125.838
   56757.96531318          2.80          0.81       149.938        14.043       126.479       103.967
   56757.96828455          5.11          0.20        10.984       -60.180       266.567        29.900
   56757.97366911          3.01          0.20       257.348        -4.439        22.088        85.547
   56757.97701744          4.65          0.20       291.020       -16.060       349.612        73.976
   56757.97708358          5.05          0.20       335.520       -42.679       305.137        47.401
   56757.97856905          5.04          0.20       187.028       -62.441        94.143        27.474
   56757.98015797          2.78          0.76       307.435        31.146       334.392       121.198
   56757.98138973          4.96          0.20        97.318       -53.713       185.029        36.264
   56757.98462375          2.78          0.46       208.485        69.459        75.021       159.387
   56757.98821074          4.99          0.20       168.891       -43.840       115.807        46.073
   56757.99978354          3.47          2.93       149.257        24.921       139.594       114.845
   56758.00015429          3.21          0.73       284.717        64.894         4.458       154.916
   56758.00285015          2.93          0.25       147.237        10.297       142.732       100.221
   56758.00319771          3.64          0.62        20.531         9.128       269.573        99.203
   56758.00631266          3.20          0.32       280.860        13.062        10.387       103.080
   56758.00966620          5.29          0.36       183.465       -71.946       108.924        17.967
   56758.01412024          3.05          0.56       183.812        -1.640       110.230        88.273
   56758.01740301          5.25          0.20        39.937       -69.166       255.463        20.893
   56758.02224633          3.74          0.24       252.980        -0.245        43.997        89.733
   56758.02256243          4.99          0.26        57.320       -26.647       239.817        63.390
   56758.02280035          4.43          0.20       347.488       -78.632       309.651        11.454
   56758.02449797          2.96          0.81        68.961         6.351       228.827        96.375
   56758.03024778          2.39          0.61       219.621        77.220        80.481       167.156
   56758.03474375          3.92          0.23       326.368        30.160       335.153       120.230
   56758.03579787          2.81          0.36        10.514        54.146       291.339       144.227
   56758.03699037          2.83          0.47       212.247        44.308        90.098       134.236
   56758.04166723          2.70          0.73        95.283        45.825       208.624       135.815
   56758.04441495          2.86          0.44       284.782        37.249        20.263       127.270
   56758.04514502          4.79          0.24        71.990       -75.864       233.598        14.154
   56758.04898600          2.87          0.89       197.718        16.081       108.919       105.999
   56758.05098236          3.15          0.28       132.282        44.105       175.011       134.046
   56758.05151263          3.48          1.82       210.131        66.124        97.507       156.050
   56758.05452818          4.34          0.20       223.614       -11.078        85.003        78.861
   56758.05690841          3.04          0.41       340.181         4.341       329.318        94.421
   56758.06291553          3.78          0.22       158.774        12.285       152.878       102.203
   56758.06715671          2.67          1.28       193.369         4.899       119.821        94.815
   56758.06966030          4.80          0.20         9.173       -19.445       304.936        70.637
   56758.07585966          5.12          0.20        81.425       -34.878       234.972        55.127
   56758.07798624          3.39          0.95       222.712         5.978        94.392        95.916
   56758.07873031          3.55          0.45       133.387         0.509       183.981        90.445
   56758.08075294          3.15          0.20       227.985        56.288        90.206       146.230
   56758.08161973          5.03          0.20       175.897       -49.135       142.512        40.776
   56758.08163166          3.05          1.16       223.008        33.755        95.445       123.692
   56758.08347907          3.04          0.38        36.645        15.197       282.431       105.262
   56758.08962657          3.38          1.22        92.621        48.625       228.588       138.620
   56758.09234120          3.12          1.38        37.197        29.841       285.061       119.906
   56758.10137546          2.92          0.83       129.379        34.066       196.121       124.010
   56758.10178654          5.35          0.20        97.959       -28.912       227.783        61.069
   56758.10307692          3.32          0.20        80.325        59.347       245.696       149.361
   56758.10486653          3.06          1.32       319.612         8.052         7.204        98.117
   56758.10919565          5.49          0.20        28.137       -49.877       300.290        40.196
   56758.11253568          2.63          0.32       123.679        21.348       205.867       111.298
   56758.11498361          2.87          0.53       346.565        53.246       343.923       143.327
   56758.11673720          4.10          0.20       125.399       -13.772       205.707        76.173
   56758.12088535          3.07          0.22        39.460        45.527       293.078       135.592
   56758.12791061          2.61          2.62       310.450        75.083        24.922       165.135
   56758.13710212          3.04          1.64       322.645        12.092        15.811       102.159
   56758.13802713          3.06          2.48       319.747        38.078        19.075       128.140
   56758.13887041          4.48          0.61       328.688       -72.760        10.264        17.318
   56758.14515855          2.92          0.43       318.927         1.932        22.428        91.995
   56758.14762465          3.11          0.81        34.759        -1.420       307.488        88.648
   56758.14782942          2.87          0.48        86.852        46.533       255.375       136.538
   56758.15401701          2.84          0.65       187.948        35.315       156.603       125.229
   56758.15469479          5.54          2.48       354.102       -17.149       350.693        72.935
   56758.15476029          2.88          0.73       219.926        11.860       124.897       101.792
   56758.15777964          2.74          1.06       342.070        -1.983         3.840        88.097
   56758.16197154          3.09          0.45       315.160        54.841        32.348       144.897
   56758.16614647          3.09          1.04        73.045         1.245       275.883        91.268
   56758.17059127          2.88          0.68       239.254         8.590       111.284        98.544
   56758.17191662          2.83          1.92       187.361        56.416       163.656       146.331
   56758.17287013          3.10          1.23       227.336        13.717       124.029       103.656
   56758.17825010          4.85          0.20       127.882       -18.471       225.435        71.472
   56758.18897976          3.06          0.82        50.326        -2.400       306.851        87.652
   56758.19196809          3.18          1.40       185.392        35.439       172.856       125.353
   56758.19540322          2.67          0.98       250.593        80.260       109.342       170.227
   56758.19931405          2.89          0.65         9.703        35.964       351.193       126.046
   56758.20115259          4.78          0.20        79.644       -35.686       281.983        54.325
   56758.20656311          2.93          0.32       289.735        39.272        73.847       129.295
   56758.20737853          2.88          0.24       111.188        50.393       252.527       140.365
   56758.20813828          2.97          0.47       313.303        32.178        50.824       122.232
   56758.21033471          2.92          2.34       135.394        29.005       229.448       118.945
   56758.21299714          2.79          1.70       100.580         6.770       265.251        96.753
   56758.21592678          2.89          0.21        54.910        -3.050       311.995        86.998
   56758.21693057          3.09          0.77       211.861        63.245       155.473       153.171
   56758.22206439          4.75          1.22        33.402       -31.031       335.744        59.038
   56758.22446971          4.79          0.20        21.818       -27.598       348.185        62.479
   56758.22720253          2.96          1.79       274.815        30.568        96.200       120.569
   56758.22792331          5.42          0.28       258.841       -56.612       112.255        33.373
   56758.22796443          2.85          1.53       222.589        31.458       148.682       121.392
   56758.22798670          3.21          0.80        67.241        -2.184       304.016        87.848
   56758.23478277          2.82          0.37        27.013         9.563       346.690        99.637
