#     MJD[days]  log10(E/GeV)   AngErr[deg]       RA[deg]      Dec[deg]  Azimuth[deg]   Zenith[deg]
   57891.56922365          4.98          0.94       281.752       -53.475       249.254        36.550
   57891.57184899          4.59          0.20        17.125       -72.491       155.064        17.597
   57891.58204848          5.61          0.20       301.496       -52.050       234.164        38.005
   57891.58825654          5.07          0.27        97.406       -50.934        80.711        39.046
   57891.59388620          4.67          0.21       228.385       -28.055       311.604        61.887
   57891.59656528          3.81          0.27        49.673        45.191       131.262       135.245
   57891.60828708          2.85          0.59       322.377        16.858       222.870       106.931
   57891.60938284          4.68          0.20         8.280       -32.235       177.364        57.855
   57891.61189053          5.58          1.62        24.916       -33.411       161.650        56.670
   57891.61426815          3.32          2.39        99.795        24.124        87.561       114.103
   57891.61441047          3.34          0.57        54.069        -2.187       133.382        87.861
   57891.62031734          4.39          0.20       295.355       -18.596       254.189        71.449
   57891.62074745          2.60          3.23       325.912        85.276       224.383       175.349
   57891.62646156          3.09          0.73       326.715        22.932       225.096       113.008
   57891.62922450          2.92          1.86       318.546         5.772       234.249        95.843
   57891.63208118          4.23          0.39       120.023       -11.676        73.816        78.271
   57891.63934211          2.96          0.81       174.097        52.286        22.338       142.198
   57891.64019907          2.87          0.72       344.133        26.843       212.630       116.929
   57891.64136251          2.86          4.70       214.994        22.381       342.196       112.310
   57891.64180692          3.14          0.29        89.270        20.381       108.033       110.376
   57891.64300758          3.40          0.48        72.205         0.370       125.565        90.391
   57891.64514334          2.82          0.72       272.977        27.838       285.603       117.847
   57891.64612895          4.67          0.20        98.213       -17.925       100.713        72.054
   57891.64686455          3.17          2.32       233.526         4.369       325.632        94.319
   57891.64983029          2.88          0.94       169.574        16.764        30.649       106.673
   57891.65013963          3.02          1.73        97.575        38.643       102.698       128.626
   57891.65154213          3.01          0.42        67.616         6.545       133.226        96.573
   57891.65272831          2.97          0.69        44.125         6.023       157.148        96.083
   57891.65503569          4.23          0.24       225.731       -12.735       336.355        77.205
   57891.65723965          2.70          3.91       146.623        30.145        56.254       120.066
   57891.66065139          2.84          2.47       339.038        38.906       225.119       128.990
   57891.66780635          4.77          0.20       183.136       -22.326        23.573        67.579
   57891.66931389          4.85          0.20        97.334       -44.911       110.024        45.067
   57891.67055943          2.83          1.52       253.353         0.822       314.354        90.801
   57891.67627510          3.16          0.76       354.604        -0.575       215.173        89.517
   57891.67753175          3.20          0.56       223.946        -0.427       346.277        89.510
   57891.68398646          2.87          2.27       250.364        53.405       322.306       143.379
   57891.68430250          2.78          1.19       279.448        23.118       293.258       113.138
   57891.68973448          5.09          0.30       281.174       -57.447       293.311        32.581
   57891.69279291          2.86          0.70        75.259         7.671       140.472        97.687
   57891.69316444          2.96          0.69       261.360         1.943       314.509        91.936
   57891.69367520          4.97          0.33       332.414       -30.739       243.621        59.349
   57891.69675986          3.15          1.00       147.589        63.895        69.492       153.817
   57891.69906725          3.20          0.55       162.202        16.453        55.793       106.362
   57891.70065449          2.97          0.53        19.318        43.430       199.227       133.513
   57891.70236683          4.69          0.20       250.796       -45.957       328.296        44.019
   57891.70250591          4.31          0.20       215.743       -42.568         3.437        47.358
   57891.70340557          3.25          0.52       314.467         0.825       265.101        90.895
   57891.70662749          3.05          0.22        53.188        12.731       167.531       102.780
   57891.70802131          4.54          0.20       205.388       -24.698        15.820        65.218
   57891.71267422          4.48          0.20       109.874       -20.569       113.076        69.389
   57891.71818288          3.19          0.92       187.201        25.845        37.708       115.754
   57891.71947576          5.06          0.42       107.845       -54.511       117.653        35.449
   57891.72140582          3.18          0.51       303.568         6.024       282.503        96.081
   57891.72680429          4.87          0.37       263.885       -48.462       324.016        41.536
   57891.72745025          3.11          0.57       336.414        21.649       251.846       111.736
   57891.72864358          4.88          0.20       187.332       -27.384        41.333        62.521
   57891.72957949          2.73          1.00        98.163         4.368       130.851        94.346
   57891.73563905          2.75          2.13        82.223        61.816       148.815       151.822
   57891.73768030          2.90          0.33       235.841        -5.442       356.087        84.510
   57891.73774323          3.81          0.20       339.079        -4.365       252.883        85.726
   57891.73907273          4.91          1.21       290.296       -36.493       302.080        53.549
   57891.74363866          4.48          0.20        10.810       -23.283       223.297        66.810
   57891.74744630          2.90          1.12       249.936        40.645       345.602       130.618
   57891.75152312          2.92          0.33       256.144        15.262       340.815       105.245
   57891.75560368          2.94          1.50       348.354        16.609       250.063       106.702
   57891.75576464          2.93          4.15        93.722        65.694       144.549       155.682
   57891.76146244          4.74          0.20       163.067       -37.044        77.473        52.858
   57891.76912162          3.23          0.66        84.882        -3.498       158.419        86.501
   57891.77003554          1.85          0.74       326.254        21.529       277.385       111.610
   57891.77238473          4.51          0.24       124.087       -16.793       120.407        73.144
   57891.77319738          2.71          1.17       293.686         6.767       311.083        96.812
   57891.77490115          2.95          0.29        41.100         1.333       204.281        91.399
   57891.77652920          4.48          0.65       307.181       -17.023       298.760        73.042
   57891.78407922          2.83          1.02        97.734        16.094       150.934       106.073
   57891.78455714          4.86          0.20       284.791       -57.808       323.921        32.227
   57891.78629782          2.83          0.63       178.579        36.261        70.913       126.166
   57891.78693115          3.15          0.70       189.040        35.395        60.692       125.303
   57891.79005242          3.30          1.55       173.051        39.136        77.790       129.042
   57891.79328247          3.14          0.99        26.765        17.580       225.237       107.661
   57891.80678425          3.27          1.06       245.571        20.548        11.344       110.514
   57891.80775172          2.98          0.44       129.593        40.214       127.586       130.148
   57891.81085424          3.16          0.70       225.782        -3.402        32.563        86.535
   57891.81769231          3.09          0.58       266.071         2.330       354.752        92.330
   57891.82145664          2.94          1.07       164.600        14.350        97.576       104.254
   57891.82151999          3.18          1.18       168.391         5.933        93.812        95.835
   57891.82547103          3.10          2.29       119.438        66.186       144.017       156.135
   57891.82738897          4.99          0.20        91.443       -52.184       173.015        37.803
   57891.83188515          2.96          0.49       248.489        26.948        17.500       116.917
   57891.83883241          2.91          0.81       164.052         2.086       104.401        91.989
   57891.84095961          5.22          0.28        61.404       -33.908       207.886        56.131
   57891.84603694          2.84          0.70        39.264         3.564       231.793        93.634
   57891.84727413          2.87          0.78       257.443         5.755        14.064        95.739
   57891.84800828          4.92          0.20       225.152       -52.692        46.508        37.242
   57891.85102277          2.99          0.61        90.147        -2.835       182.718        87.157
   57891.85406104          2.49          2.41       245.457        28.085        28.539       118.050
   57891.85606253          4.40          0.20       350.023       -16.716       284.651        73.383
