#     MJD[days]  log10(E/GeV)   AngErr[deg]       RA[deg]      Dec[deg]  Azimuth[deg]   Zenith[deg]
   56414.57958940          2.86          0.54       268.091        65.613       251.177       155.609
   56414.58162961          3.04          1.69       349.252        30.476       170.618       120.542
   56414.58270263          3.48          0.50       154.885        20.216         5.350       110.152
   56414.58356841          2.72          1.45        58.257         5.182       102.302        95.215
   56414.58695219          3.27          0.97       167.041        -0.178       354.737        89.751
   56414.59297549          3.09          0.32       353.535         4.170       170.425        94.238
   56414.59513164          5.87          2.52       359.474       -50.966       165.268        39.106
   56414.59566038          4.94          0.20        52.181       -52.072       112.826        37.967
   56414.59703628          4.06          0.54       122.201        -7.137        43.229        82.820
   56414.60127294          2.96          0.66       353.004        28.956       173.954       119.022
   56414.60308374          3.09          1.74       227.044        11.729       300.566       101.682
   56414.60452024          5.05          0.23       353.716       -52.132       174.407        37.941
   56414.60981296          3.82          0.92       318.925        43.840       211.150       133.890
   56414.61933615          3.09          0.35       194.004        -3.590       339.462        86.341
   56414.62199699          3.38          0.46       149.928        14.485        24.494       104.422
   56414.62369425          4.80          0.20       302.170       -31.078       232.838        58.964
   56414.62447338          3.17          1.09         0.891        47.982       174.435       138.049
   56414.62895646          2.77          1.73        54.045        10.977       122.893       101.013
   56414.63402346          4.86          0.27       353.756       -23.425       185.019        66.646
   56414.63749956          4.39          0.20       269.813       -22.702       270.181        67.303
   56414.65525683          3.50          1.42       311.792        -2.929       234.643        87.121
   56414.66365604          5.31          0.64       303.883       -35.702       245.546        54.343
   56414.66838060          2.81          0.33       212.204        10.012       338.973        99.953
   56414.67002807          2.51          0.94        53.367        25.246       138.380       115.283
   56414.67016325          2.69          6.50       350.998        61.024       200.839       151.090
   56414.67102293          2.80          0.44       190.119        17.522         2.011       107.452
   56414.67159877          3.00          0.59        63.325        15.247       128.999       105.273
   56414.67186619          4.90          0.20       348.506       -60.760       203.918        29.314
   56414.67944251          3.27          0.41       273.859        49.441       281.387       139.447
   56414.68049712          5.58          0.20        94.885       -57.144       100.780        32.840
   56414.68278716          2.72          1.52       350.604        15.452       205.777       105.521
   56414.68678080          3.38          1.80       258.420        38.124       299.448       128.112
   56414.68786491          4.75          0.65       159.811       -22.417        38.403        67.510
   56414.68933293          3.07          0.59       150.855         4.951        47.880        94.884
   56414.68959400          3.00          0.21       162.971        -1.790        35.860        88.138
   56414.69264307          2.95          1.05        76.898         7.296       123.031        97.305
   56414.69426299          3.56          0.49       354.924        23.365       205.599       113.434
   56414.69685553          3.02          0.57       282.884         9.834       278.580        99.854
   56414.69860279          3.09          0.31       151.389        40.907        50.669       130.843
   56414.69927553          3.11          0.57       316.375        32.797       245.983       122.849
   56414.70074670          2.83          0.90        19.166         3.616       183.696        93.681
   56414.70127106          5.08          0.20       134.654       -68.381        68.512        21.558
   56414.70626839          5.19          0.20       293.769       -66.119       270.935        23.920
   56414.71047039          3.59          0.20        42.515        -5.034       163.865        85.014
   56414.71508213          3.21          1.36        70.837         4.307       137.197        94.324
   56414.71896370          5.07          0.26       138.234       -27.296        71.223        62.642
   56414.72363095          3.26          0.32       219.279        18.340       351.853       108.287
   56414.72608413          3.25          0.20       359.185        25.118       212.822       115.188
   56414.73333168          3.10          1.49       178.798        30.162        35.822       120.089
   56414.73570449          3.24          0.20       186.966        38.552        28.520       128.482
   56414.73870006          3.28          0.41        46.790         0.978       169.774        91.021
   56414.74150616          4.83          0.20       142.266       -45.678        75.345        44.255
   56414.74217513          4.60          0.35       129.379       -38.144        88.477        51.800
   56414.74649865          5.84          0.20       223.974       -43.779       355.340        46.171
   56414.74794502          3.18          1.39       243.971        28.294       335.958       118.266
   56414.74912622          2.99          3.76        85.344        38.879       134.925       128.879
   56414.74938978          3.53          0.30       350.331        42.016       230.097       132.085
   56414.74998645          2.91          0.38        60.236        27.210       160.369       117.239
   56414.75141462          5.28          0.24       259.078       -36.394       322.012        53.600
   56414.75668023          3.00          0.66       192.640        45.820        30.427       135.750
   56414.76196112          4.19          1.21        23.022         0.284       201.940        90.347
   56414.76313986          3.06          0.62        94.349        21.671       131.008       111.658
   56414.76437677          2.65          0.49       278.244         2.773       307.585        92.789
   56414.76603414          2.91          0.71        19.046        -3.028       207.387        87.038
   56414.76636181          3.07          0.49       327.290         1.292       259.257        91.356
   56414.77040613          3.04          0.40        10.811        -3.099       217.199        86.971
   56414.77382748          5.05          0.23        93.933       -31.577       135.356        58.407
   56414.77796463          3.23          0.34       334.928         2.668       255.809        92.736
   56414.78212963          3.20          1.17        34.762        31.788       197.451       121.843
   56414.78400903          3.36          0.22       298.001        30.027       294.949       120.064
   56414.79365743          2.80          2.72        81.199        57.143       155.091       147.149
   56414.79411998          3.20          1.32       145.297        42.945        91.233       132.882
   56414.79478742          2.99          1.03       129.548         3.760       107.256        93.705
   56414.79506829          3.09          0.87       200.227         4.886        36.679        94.817
   56414.79649317          2.71          0.61       355.467        69.697       241.961       159.768
   56414.80124715          3.20          1.51        86.199        10.600       152.929       100.597
   56414.80351081          3.21          0.40        41.949        13.919       197.998       103.968
   56414.80355378          5.24          0.27       132.576       -36.180       107.432        53.759
   56414.80504819          5.46          0.27        66.172       -61.788       174.483        28.233
   56414.80528451          2.97          0.51       231.415         0.369         9.176        90.326
   56414.80538830          3.29          0.65       171.407         3.413        69.222        93.336
   56414.80803223          3.94          0.88       152.602        -8.649        88.988        81.278
   56414.80912505          3.16          0.63         3.134        12.389       238.850       102.462
   56414.81037303          2.81          0.75       132.458        49.375       109.915       139.321
   56414.81409449          3.24          0.61       276.547        23.175       327.257       113.188
   56414.81584301          3.06          1.87        59.890        47.355       184.450       137.387
   56414.81665383          4.71          0.20       269.389       -20.571       335.278        69.435
   56414.81678632          5.42          0.26       347.492       -39.951       257.252        50.126
   56414.82373620          4.78          0.23       200.521       -18.789        46.719        71.140
   56414.82443669          3.13          1.39       227.031        47.025        20.536       136.977
   56414.82467267          3.93          0.20       212.823       -11.474        34.756        78.464
   56414.83251060          2.67          0.94        33.740         8.883       216.682        98.940
   56414.83881087          4.29          0.20       328.537       -13.343       284.154        76.725
   56414.83922455          4.78          0.29        13.439       -36.126       239.433        53.947
   56414.84007464          3.47          0.22       165.133         1.270        88.018        91.193
   56414.84012087          2.94          1.77       154.526        16.626        98.635       106.554
   56414.84028376          3.14          1.15        56.739        48.894       196.421       138.930
   56414.84054409          3.02          1.54       354.999         9.995       258.328       100.070
   56414.84294902          2.73          0.37       202.297         2.091        51.892        92.022
   56414.84685808          3.01          0.83       231.489        35.343        24.154       125.299
   56414.84725851          3.00          0.50       350.698        24.693       265.056       114.766
   56414.85081916          3.00          1.85       229.074        31.336        27.992       121.290
   56414.85662771          2.46          1.22       306.614        30.877       312.550       120.924
   56414.85793568          3.12          1.41         7.921        40.197       251.672       130.269
   56414.85846510          4.45          0.99       327.418       -58.078       292.321        31.995
   56414.86533299          2.84          0.75       337.997         1.584       284.278        91.656
   56414.86812078          3.87          0.20       113.035       -12.529       150.261        77.431
   56414.87086522          2.80          0.65       182.656        15.393        81.612       105.316
   56414.87372948          5.08          0.20       354.768       -46.909       270.541        43.171
   56414.87439370          4.93          0.23       140.266       -26.878       125.299        63.054
   56414.87785196          2.86          1.23       189.767        15.748        77.026       105.672
   56414.87986640          4.27          0.20       111.024       -43.089       156.563        46.872
   56414.88377897          2.91          1.03       269.352         5.131       359.582        95.134
   56414.88437735          5.28          0.20        98.958       -59.214       170.323        30.763
   56414.88490118          2.80          1.26       262.727         1.816         6.607        91.811
