#     MJD[days]  log10(E/GeV)   AngErr[deg]       RA[deg]      Dec[deg]  Azimuth[deg]   Zenith[deg]
   57136.86829079          3.16          0.87       253.355        46.197         1.680       136.176
   57136.87525939          2.95          1.17       348.009        21.064       269.467       111.148
   57136.87634164          3.19          0.50       353.875         3.962       263.987        94.047
   57136.88055634          2.88          6.79       140.827        79.415       118.286       169.347
   57136.88247655          3.36          0.83        86.674        46.864       173.311       136.862
   57136.88948764          4.63          0.25        20.815       -25.980       241.813        64.097
   57136.88998226          3.07          1.58       303.562        10.219       319.233       100.271
   57136.89240796          4.38          0.55       191.137        -9.439        72.512        80.475
   57136.90025289          3.26          0.59        18.665        11.114       247.823       101.193
   57136.90408850          3.16          0.46        99.884         8.189       167.981        98.165
   57136.90817878          2.94          1.33       312.878        63.939       316.596       153.998
   57136.90961912          3.28          0.20       176.819        -0.718        93.048        89.192
   57136.91108366          3.08          1.74        99.301        37.648       171.036       127.627
   57136.91252869          2.36          1.99       147.634        11.676       123.277       101.597
   57136.91499591          3.05          0.85       254.938        15.382        16.894       105.364
   57136.91648420          2.92          0.23       132.694         0.905       139.653        90.837
   57136.91818625          2.94          0.75       128.893        22.974       144.043       112.913
   57136.92075498          2.54          1.84       142.650        19.175       131.223       109.100
   57136.92159309          2.93          0.95       303.522        31.545       330.714       121.596
   57136.92340720          3.02          1.05        37.149         0.041       237.705        90.106
   57136.92444925          2.71          1.86       356.920        14.493       278.309       104.579
   57136.92493591          5.57          0.93        16.316       -38.704       259.117        51.378
   57136.92502909          4.14          0.20       108.632       -12.637       166.822        77.325
   57136.92559091          3.35          0.58       226.783         8.169        48.859        98.111
   57136.92567441          3.43          0.68       349.447        -6.223       286.223        83.864
   57136.92789674          2.99          1.02        19.762         1.809       256.711        91.887
   57136.93197538          3.01          0.75       117.767        22.058       160.145       112.011
   57136.93361704          2.78          0.94       155.333        52.249       123.158       142.168
   57136.93473672          2.69          0.36       341.927        54.047       297.045       144.129
   57136.93558608          2.97          2.71        49.744        72.594       229.287       162.646
   57136.93897699          3.00          0.45       278.149        -1.251         2.315        88.766
   57136.93905601          2.97          1.11        22.313        52.480       258.140       142.558
   57136.94074712          2.95          0.59       219.897        -0.481        61.205        89.454
   57136.94993747          2.90          1.36       287.617        18.793       356.835       108.823
