#     MJD[days]  log10(E/GeV)   AngErr[deg]       RA[deg]      Dec[deg]  Azimuth[deg]   Zenith[deg]
   56043.97240302          4.39          0.20       119.835       -10.188       175.438        79.768
   56043.97261236          2.99          0.20       110.947         8.275       184.381        98.243
   56043.97305841          2.88          0.98       124.370         1.065       171.127        91.018
   56043.97411503          2.86          0.51       224.730        33.387        71.180       123.335
   56043.97496120          5.20          0.20        46.479       -55.370       249.797        34.676
   56043.97918786          3.33          0.97        86.574        -2.763       211.144        87.236
   56043.98072850          2.73          0.75       163.864        25.077       134.391       115.004
   56043.98473997          2.87          0.61       263.766        35.378        35.997       125.370
   56043.98831753          5.64          0.29       171.635       -36.459       129.372        53.462
   56043.99229624          3.06          0.76       358.119        36.523       304.327       126.594
   56043.99265850          2.86          0.36       191.640         2.981       110.929        92.906
   56043.99297699          3.06          1.88        65.517         5.039       237.169        95.065
   56043.99409799          3.08          0.64       168.830        16.123       134.256       106.048
   56043.99978481          3.16          1.66       274.808         7.713        30.345        97.720
   56044.00350970          2.75          1.95        70.077        63.196       236.280       153.220
   56044.00911723          4.43          0.41        30.659       -17.618       277.874        72.444
   56044.01063878          3.11          0.79       108.462         9.578       200.592        99.550
   56044.01332481          3.38          0.82       206.621         7.492       103.412        97.425
   56044.01421630          3.40          1.18         9.316         3.316       301.042        93.388
   56044.01527221          2.98         10.28       133.003        19.190       177.714       109.136
   56044.01623175          3.37          1.26       187.612         6.325       123.468        96.250
   56044.02275359          3.98          0.20        41.728       -10.626       271.724        79.427
   56044.02371250          2.80          0.81        83.258        69.461       230.335       159.470
   56044.03581992          3.08          0.80       125.924        12.189       192.216       102.142
   56044.03826736          3.69          0.22        46.158        21.522       272.863       111.571
   56044.04160015          5.16          0.23        94.256       -69.321       226.192        20.667
   56044.04313928          5.05          0.40        25.780       -35.062       295.047        55.005
   56044.04452262          4.87          0.48        91.385       -23.116       229.946        66.877
   56044.04741591          3.08          0.81       150.069        46.130       172.231       136.066
   56044.05042859          2.87          0.38        56.472         9.679       266.949        99.718
   56044.05146771          5.27          0.21       277.652       -50.098        46.057        39.916
   56044.05389586          2.95          1.00        10.293         0.097       314.390        90.169
   56044.05600131          3.04          0.46       171.419        19.169       154.013       109.094
   56044.05818079          5.17          0.29       197.102       -52.213       129.084        37.712
   56044.05841149          5.06          0.20       343.607       -23.737       342.697        66.336
   56044.06061155          5.00          0.20        59.983       -45.934       267.196        44.100
   56044.06064679          3.00          2.51       340.125        72.468       347.077       162.535
   56044.06291861          3.30          5.55       150.825        31.324       177.087       121.258
   56044.07120475          3.37          0.49        29.510         6.253       301.418        96.317
   56044.07271479          3.04          0.27        66.059        15.227       265.399       105.256
   56044.07848207          3.09          1.58         9.634        43.707       323.914       133.778
   56044.08573118          5.05          0.20       159.188       -26.356       176.993        63.569
   56044.09270994          4.95          0.28       149.746       -21.828       188.957        68.103
   56044.09387553          5.20          0.29       162.239       -19.918       176.876        70.006
   56044.09721322          3.20          1.52       301.171        29.803        39.181       119.839
   56044.10247159          2.37          1.67       274.249        30.215        68.005       120.217
   56044.10289116          2.84          0.52        20.241        71.694       322.060       161.762
   56044.10289963          2.89          0.47       272.328         1.970        70.040        91.971
   56044.10455897          2.89          0.66       134.260        17.553       208.689       107.500
   56044.10558002          2.88          1.18       258.236        65.264        85.251       155.244
   56044.10705850          4.65          0.50        94.867       -25.614       249.043        64.376
   56044.10830995          2.71          4.11       265.005        14.204        79.332       104.194
   56044.10921565          3.16          0.52       166.560        62.682       178.047       152.612
   56044.10953394          3.25          2.42       142.270        30.064       202.465       120.005
   56044.10953470          2.97          3.92        28.503        28.383       316.247       118.448
   56044.11170422          3.10          3.87       287.425        52.845        58.214       142.863
   56044.11427870          3.03          0.52       332.992        14.884        13.496       104.949
   56044.11458847          2.84          1.94       291.713        66.281        55.031       156.303
   56044.13077799          2.73          0.67       177.024         1.830       175.404        91.753
   56044.13297194          2.85          2.74       149.195        10.864       204.019       100.798
